Codigo de Lockets,Area,Area de Lockers,ESTADO,UNIDAD
25,PCC,VESTIDOR HOMBRES,LOCKERT DISPONIBLE,1
26,PCC,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
27,PCC,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
28,PCC,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
29,PCC,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
30,PCC,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
31,PCC,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
32,PCC,VESTIDOR HOMBRES,LOCKERT DISPONIBLE,1
33,PCC,VESTIDOR HOMBRES,LOCKERT DISPONIBLE,1
34,PCC,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
35,PCC,VESTIDOR HOMBRES,LOCKERT DISPONIBLE,1
36,PCC,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
37,PCC,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
38,PCC,VESTIDOR HOMBRES,LOCKERT DISPONIBLE,1
39,PCC,VESTIDOR HOMBRES,LOCKERT DISPONIBLE,1
40,PCC,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
41,PCC,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
42,PCC,VESTIDOR HOMBRES,LOCKERT DISPONIBLE,1
43,PCC,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
44,PCC,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
45,PCC,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
46,PCC,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
47,PCC,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
48,PCC,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
49,PCC,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
50,PCC,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
51,PCC,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
52,PCC,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
53,PCC,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
54,PCC,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
55,PCC,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
56,PCC,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
57,PCC,VESTIDOR HOMBRES,LOCKERT ASIGNADO,1
58,PCC,VESTIDOR HOMBRES,LOCKERT DISPONIBLE,1
2,SEG,ADMINISTRACION,LOCKERT DISPONIBLE,1
7,SST,VESTIDOR MUJERES,LOCKERT DISPONIBLE,1
10,SST,VESTIDOR MUJERES,LOCKERT ASIGNADO,1
12,SST,ADMINISTRACION,LOCKERT DISPONIBLE,1
8,TIC,ADMINISTRACION,LOCKERT ASIGNADO,1
5,VIS,ADMINISTRACION,LOCKERT VISITA,1
10,VIS,ADMINISTRACION,LOCKERT VISITA,1
13,VIS,VESTIDOR MUJERES,LOCKERT VISITA,1
14,VIS,VESTIDOR MUJERES,LOCKERT VISITA,1
15,VIS,ADMINISTRACION,LOCKERT VISITA,1
15,VIS,VESTIDOR MUJERES,LOCKERT VISITA,1
17,VIS,VESTIDOR MUJERES,LOCKERT VISITA,1
18,VIS,VESTIDOR MUJERES,LOCKERT VISITA,1
19,VIS,VESTIDOR MUJERES,LOCKERT VISITA,1
20,VIS,ADMINISTRACION,LOCKERT VISITA,1
21,VIS,VESTIDOR MUJERES,LOCKERT VISITA,1
22,VIS,VESTIDOR MUJERES,LOCKERT VISITA,1
23,VIS,VESTIDOR MUJERES,LOCKERT VISITA,1
25,VIS,ADMINISTRACION,LOCKERT VISITA,1
30,VIS,ADMINISTRACION,LOCKERT VISITA,1
